[Measurement Properties]
Wavelength Range (nm.):	740,00 to 1050,00
Scan Speed:	Very Slow
Sampling Interval:	0,2
Auto Sampling Interval:	Disabled
Scan Mode:	Auto

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	WI
Detector Unit:	Integral Sphere
Detector Change Wavelength:	920,00 nm  1650,00 nm
Grating Change Wavelength:	850,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	POSITION_1.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	04MAY2015
FILTER#12
BRAZIL

Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
764,80	100,016	0,055	0,055	0,056	0,055	0,055	0,055	0,055	0,055	0,055	0,056	0,055	0,055	0,055	0,055	0,055	0,055	0,055	0,056	0,056	0,056	0,056	0,055	0,055	0,056	0,055	0,055	0,055	0,056	0,056	0,055	0,055	0,056	0,056	0,056	0,055	0,055	0,056	0,055	0,055	0,056	0,055	0,055	0,055	0,055	0,055	0,055	0,056	0,056	0,055	0,056	0,055	0,055	0,055	0,055	0,055	0,055	0,055	0,056	0,056	0,056	0,055	0,055	0,056	0,055	0,055	0,055	0,056	0,055	0,056	0,056	0,055	0,055	0,055	0,054	0,055	0,055	0,056	0,056	0,056	0,056	0,056	0,055	0,056	0,056	0,056	0,055	0,056	0,056	0,056	0,056	0,056	0,056	0,055	0,056	0,055	0,056	0,055	0,056	0,056	0,056	100,062
765,00	100,011	0,056	0,057	0,057	0,057	0,056	0,056	0,057	0,057	0,056	0,057	0,056	0,056	0,056	0,056	0,056	0,056	0,056	0,057	0,057	0,057	0,057	0,056	0,056	0,057	0,056	0,056	0,057	0,057	0,057	0,057	0,056	0,057	0,057	0,057	0,056	0,057	0,057	0,057	0,056	0,057	0,057	0,056	0,056	0,056	0,056	0,057	0,057	0,057	0,057	0,057	0,057	0,056	0,056	0,056	0,056	0,057	0,056	0,057	0,057	0,057	0,056	0,056	0,057	0,056	0,056	0,057	0,057	0,057	0,057	0,057	0,056	0,056	0,056	0,056	0,056	0,056	0,057	0,057	0,057	0,057	0,057	0,056	0,057	0,057	0,057	0,057	0,057	0,057	0,057	0,057	0,057	0,056	0,057	0,057	0,056	0,057	0,057	0,058	0,057	0,057	100,061
765,20	100,011	0,057	0,058	0,058	0,058	0,058	0,057	0,058	0,058	0,058	0,059	0,057	0,057	0,058	0,057	0,057	0,058	0,058	0,058	0,058	0,058	0,058	0,058	0,057	0,058	0,058	0,058	0,058	0,058	0,058	0,058	0,058	0,058	0,058	0,058	0,058	0,058	0,058	0,058	0,057	0,058	0,058	0,058	0,057	0,057	0,057	0,058	0,058	0,058	0,058	0,058	0,058	0,058	0,057	0,057	0,058	0,058	0,057	0,058	0,058	0,059	0,057	0,057	0,058	0,057	0,057	0,058	0,058	0,058	0,058	0,058	0,058	0,058	0,058	0,057	0,058	0,057	0,058	0,058	0,058	0,058	0,058	0,058	0,058	0,058	0,058	0,058	0,058	0,058	0,058	0,059	0,058	0,058	0,058	0,058	0,058	0,058	0,058	0,059	0,058	0,058	100,060
765,40	100,008	0,059	0,059	0,059	0,059	0,059	0,059	0,059	0,059	0,059	0,060	0,059	0,059	0,059	0,059	0,058	0,059	0,059	0,059	0,059	0,060	0,059	0,059	0,059	0,059	0,059	0,059	0,059	0,059	0,059	0,059	0,059	0,059	0,060	0,059	0,059	0,059	0,059	0,059	0,058	0,059	0,059	0,059	0,058	0,059	0,058	0,059	0,059	0,060	0,059	0,059	0,059	0,059	0,059	0,059	0,059	0,059	0,058	0,059	0,060	0,060	0,059	0,059	0,059	0,059	0,058	0,059	0,059	0,059	0,059	0,059	0,059	0,059	0,059	0,058	0,059	0,059	0,060	0,059	0,060	0,060	0,059	0,059	0,059	0,059	0,059	0,059	0,059	0,059	0,059	0,060	0,059	0,059	0,059	0,059	0,059	0,060	0,059	0,060	0,059	0,060	100,062
765,60	100,017	0,060	0,060	0,060	0,060	0,060	0,060	0,061	0,061	0,060	0,061	0,060	0,060	0,061	0,060	0,060	0,060	0,060	0,061	0,061	0,061	0,061	0,060	0,060	0,060	0,060	0,060	0,060	0,060	0,060	0,061	0,060	0,061	0,061	0,060	0,060	0,061	0,060	0,061	0,060	0,060	0,060	0,060	0,059	0,060	0,059	0,061	0,061	0,061	0,060	0,060	0,060	0,060	0,060	0,060	0,060	0,061	0,059	0,061	0,061	0,061	0,060	0,060	0,060	0,060	0,060	0,060	0,061	0,060	0,060	0,061	0,060	0,060	0,060	0,060	0,060	0,060	0,061	0,060	0,061	0,061	0,060	0,060	0,061	0,060	0,060	0,060	0,060	0,061	0,061	0,061	0,060	0,060	0,060	0,061	0,060	0,061	0,060	0,061	0,061	0,061	100,058
765,80	100,010	0,061	0,062	0,062	0,062	0,061	0,061	0,062	0,062	0,062	0,062	0,061	0,061	0,062	0,061	0,061	0,061	0,061	0,062	0,062	0,062	0,062	0,062	0,061	0,062	0,061	0,062	0,062	0,061	0,062	0,062	0,062	0,062	0,062	0,062	0,061	0,062	0,062	0,062	0,061	0,062	0,061	0,062	0,061	0,061	0,061	0,062	0,062	0,062	0,062	0,062	0,062	0,061	0,061	0,061	0,062	0,062	0,061	0,062	0,062	0,062	0,062	0,061	0,062	0,061	0,061	0,062	0,062	0,062	0,062	0,062	0,062	0,061	0,061	0,061	0,061	0,062	0,062	0,062	0,062	0,062	0,061	0,062	0,062	0,062	0,062	0,062	0,062	0,062	0,062	0,062	0,062	0,062	0,061	0,062	0,062	0,062	0,062	0,063	0,062	0,062	100,059
766,00	100,019	0,062	0,063	0,063	0,063	0,063	0,063	0,063	0,063	0,063	0,063	0,062	0,062	0,063	0,062	0,062	0,063	0,063	0,063	0,063	0,064	0,063	0,063	0,062	0,063	0,063	0,063	0,063	0,063	0,063	0,063	0,063	0,063	0,064	0,063	0,063	0,063	0,063	0,063	0,063	0,063	0,063	0,063	0,062	0,063	0,062	0,063	0,063	0,063	0,063	0,063	0,063	0,063	0,063	0,062	0,063	0,063	0,062	0,063	0,064	0,063	0,063	0,063	0,063	0,063	0,063	0,063	0,064	0,063	0,063	0,063	0,063	0,063	0,063	0,062	0,062	0,063	0,063	0,063	0,063	0,064	0,063	0,063	0,063	0,063	0,063	0,063	0,063	0,063	0,064	0,064	0,063	0,063	0,063	0,063	0,063	0,063	0,063	0,064	0,063	0,064	100,059
766,20	100,025	0,064	0,064	0,064	0,064	0,064	0,064	0,065	0,065	0,064	0,064	0,064	0,064	0,065	0,063	0,064	0,064	0,064	0,065	0,065	0,065	0,065	0,064	0,064	0,064	0,064	0,065	0,064	0,064	0,065	0,065	0,065	0,065	0,065	0,065	0,064	0,064	0,064	0,065	0,064	0,065	0,064	0,064	0,064	0,064	0,064	0,064	0,065	0,065	0,064	0,065	0,064	0,064	0,064	0,064	0,064	0,065	0,064	0,065	0,065	0,065	0,064	0,064	0,064	0,064	0,064	0,064	0,065	0,064	0,064	0,065	0,064	0,064	0,064	0,064	0,064	0,064	0,065	0,065	0,065	0,065	0,064	0,064	0,065	0,065	0,064	0,064	0,065	0,065	0,065	0,065	0,064	0,064	0,064	0,065	0,065	0,064	0,065	0,066	0,065	0,065	100,058
766,40	100,017	0,065	0,066	0,066	0,066	0,065	0,066	0,066	0,066	0,066	0,066	0,065	0,065	0,066	0,065	0,066	0,065	0,066	0,066	0,066	0,067	0,066	0,066	0,065	0,066	0,065	0,066	0,066	0,066	0,066	0,066	0,066	0,066	0,066	0,066	0,066	0,066	0,066	0,066	0,065	0,066	0,066	0,066	0,065	0,066	0,065	0,066	0,066	0,066	0,066	0,066	0,066	0,066	0,065	0,066	0,066	0,066	0,065	0,066	0,067	0,066	0,066	0,066	0,066	0,066	0,065	0,066	0,066	0,066	0,066	0,066	0,066	0,066	0,065	0,065	0,065	0,066	0,066	0,066	0,066	0,067	0,066	0,066	0,066	0,066	0,066	0,066	0,066	0,066	0,066	0,067	0,066	0,066	0,065	0,066	0,066	0,066	0,066	0,067	0,066	0,067	100,049
766,60	100,020	0,066	0,067	0,067	0,067	0,067	0,067	0,067	0,068	0,067	0,067	0,067	0,067	0,067	0,066	0,067	0,067	0,067	0,068	0,068	0,068	0,067	0,067	0,066	0,067	0,067	0,067	0,068	0,067	0,068	0,067	0,067	0,067	0,068	0,068	0,067	0,067	0,067	0,068	0,067	0,068	0,067	0,067	0,067	0,067	0,067	0,068	0,068	0,067	0,067	0,068	0,067	0,067	0,067	0,067	0,067	0,068	0,067	0,067	0,068	0,067	0,067	0,067	0,067	0,067	0,067	0,067	0,068	0,067	0,068	0,068	0,067	0,067	0,067	0,067	0,067	0,067	0,067	0,068	0,068	0,068	0,067	0,068	0,067	0,067	0,067	0,067	0,068	0,068	0,068	0,068	0,067	0,067	0,067	0,068	0,067	0,067	0,068	0,068	0,068	0,068	100,046
766,80	100,024	0,068	0,069	0,069	0,068	0,068	0,068	0,069	0,069	0,069	0,069	0,068	0,068	0,069	0,068	0,069	0,069	0,069	0,069	0,069	0,070	0,069	0,069	0,068	0,069	0,068	0,069	0,069	0,069	0,070	0,069	0,069	0,069	0,069	0,069	0,069	0,069	0,069	0,069	0,069	0,069	0,069	0,069	0,068	0,069	0,068	0,069	0,069	0,069	0,069	0,069	0,069	0,069	0,068	0,069	0,068	0,069	0,068	0,069	0,069	0,069	0,069	0,069	0,069	0,069	0,068	0,068	0,070	0,069	0,069	0,069	0,069	0,069	0,068	0,068	0,068	0,069	0,069	0,069	0,069	0,070	0,069	0,069	0,069	0,069	0,069	0,069	0,069	0,069	0,070	0,070	0,069	0,069	0,068	0,069	0,069	0,068	0,069	0,070	0,069	0,070	100,052
767,00	100,032	0,069	0,070	0,070	0,070	0,070	0,070	0,070	0,071	0,070	0,071	0,070	0,070	0,070	0,070	0,070	0,070	0,070	0,071	0,071	0,071	0,070	0,070	0,070	0,070	0,070	0,070	0,070	0,071	0,071	0,071	0,070	0,070	0,071	0,071	0,070	0,070	0,071	0,071	0,070	0,071	0,070	0,070	0,070	0,070	0,070	0,071	0,071	0,070	0,070	0,071	0,070	0,070	0,070	0,070	0,070	0,071	0,070	0,071	0,071	0,071	0,070	0,070	0,070	0,070	0,070	0,070	0,071	0,070	0,071	0,071	0,070	0,070	0,070	0,070	0,070	0,070	0,070	0,071	0,071	0,071	0,071	0,070	0,071	0,070	0,070	0,070	0,071	0,071	0,071	0,072	0,070	0,070	0,070	0,070	0,070	0,070	0,071	0,071	0,070	0,072	100,075
767,20	100,026	0,071	0,072	0,072	0,071	0,071	0,072	0,072	0,072	0,072	0,072	0,071	0,071	0,072	0,071	0,072	0,072	0,072	0,073	0,072	0,073	0,072	0,072	0,071	0,072	0,072	0,072	0,072	0,072	0,073	0,072	0,072	0,072	0,072	0,072	0,072	0,072	0,072	0,072	0,072	0,072	0,072	0,072	0,071	0,072	0,071	0,072	0,072	0,072	0,072	0,072	0,072	0,071	0,071	0,072	0,072	0,072	0,072	0,072	0,072	0,072	0,072	0,072	0,072	0,072	0,072	0,072	0,073	0,072	0,072	0,072	0,072	0,072	0,071	0,072	0,072	0,072	0,072	0,072	0,072	0,073	0,072	0,072	0,072	0,072	0,072	0,072	0,072	0,073	0,073	0,073	0,072	0,072	0,072	0,072	0,072	0,071	0,072	0,073	0,072	0,073	100,066
767,40	100,025	0,073	0,073	0,073	0,073	0,073	0,073	0,073	0,074	0,074	0,074	0,073	0,073	0,074	0,073	0,074	0,074	0,074	0,074	0,074	0,075	0,073	0,073	0,073	0,073	0,073	0,074	0,074	0,074	0,074	0,074	0,073	0,073	0,074	0,074	0,074	0,074	0,074	0,074	0,074	0,074	0,073	0,073	0,073	0,074	0,073	0,074	0,074	0,073	0,074	0,074	0,073	0,073	0,073	0,074	0,073	0,074	0,073	0,074	0,074	0,074	0,073	0,074	0,073	0,074	0,073	0,073	0,074	0,074	0,074	0,074	0,074	0,073	0,073	0,073	0,073	0,073	0,074	0,074	0,074	0,075	0,074	0,073	0,074	0,074	0,073	0,073	0,074	0,074	0,074	0,074	0,074	0,073	0,073	0,074	0,073	0,073	0,074	0,075	0,073	0,075	100,063
767,60	100,037	0,074	0,075	0,075	0,075	0,075	0,075	0,075	0,075	0,075	0,075	0,075	0,075	0,075	0,075	0,075	0,075	0,075	0,076	0,076	0,076	0,075	0,075	0,074	0,075	0,075	0,076	0,075	0,076	0,076	0,075	0,075	0,075	0,075	0,075	0,075	0,075	0,075	0,076	0,076	0,076	0,075	0,075	0,075	0,076	0,075	0,075	0,076	0,075	0,075	0,076	0,075	0,075	0,075	0,076	0,075	0,075	0,075	0,075	0,076	0,076	0,075	0,075	0,075	0,075	0,075	0,075	0,076	0,075	0,075	0,075	0,075	0,075	0,075	0,075	0,075	0,075	0,075	0,076	0,076	0,076	0,075	0,075	0,075	0,076	0,075	0,075	0,075	0,076	0,076	0,076	0,075	0,075	0,075	0,075	0,075	0,075	0,075	0,076	0,076	0,076	100,065
767,80	100,029	0,076	0,076	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,076	0,077	0,077	0,076	0,077	0,077	0,077	0,078	0,077	0,078	0,077	0,077	0,076	0,076	0,077	0,077	0,077	0,077	0,078	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,076	0,076	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,076	0,077	0,077	0,077	0,077	0,077	0,077	0,078	0,077	0,077	0,077	0,077	0,077	0,077	0,077	0,078	0,077	0,078	0,077	0,077	0,077	0,077	0,077	0,076	0,077	0,078	0,077	0,078	100,067
768,00	100,027	0,078	0,078	0,079	0,078	0,079	0,079	0,079	0,078	0,079	0,079	0,078	0,078	0,078	0,078	0,079	0,078	0,079	0,080	0,079	0,080	0,079	0,079	0,078	0,078	0,079	0,079	0,079	0,079	0,079	0,079	0,078	0,078	0,079	0,079	0,079	0,079	0,079	0,079	0,079	0,079	0,078	0,079	0,079	0,079	0,079	0,079	0,079	0,079	0,079	0,079	0,079	0,078	0,078	0,079	0,078	0,079	0,079	0,079	0,079	0,079	0,079	0,079	0,078	0,079	0,079	0,078	0,079	0,079	0,079	0,079	0,079	0,078	0,078	0,079	0,079	0,078	0,079	0,079	0,079	0,080	0,079	0,079	0,079	0,079	0,079	0,079	0,079	0,080	0,079	0,080	0,079	0,079	0,078	0,079	0,078	0,078	0,079	0,080	0,079	0,080	100,062
768,20	100,020	0,080	0,080	0,081	0,080	0,081	0,080	0,080	0,080	0,081	0,081	0,080	0,080	0,080	0,080	0,081	0,080	0,081	0,081	0,081	0,082	0,081	0,080	0,080	0,080	0,080	0,080	0,080	0,081	0,081	0,081	0,080	0,080	0,081	0,081	0,080	0,081	0,081	0,081	0,081	0,081	0,080	0,080	0,081	0,081	0,080	0,080	0,081	0,081	0,081	0,081	0,081	0,080	0,080	0,081	0,080	0,080	0,080	0,081	0,081	0,081	0,080	0,080	0,080	0,080	0,080	0,080	0,081	0,080	0,081	0,081	0,081	0,080	0,080	0,080	0,081	0,081	0,081	0,081	0,081	0,081	0,081	0,080	0,081	0,081	0,081	0,080	0,081	0,081	0,081	0,081	0,081	0,080	0,080	0,081	0,080	0,080	0,081	0,082	0,081	0,082	100,054
768,40	100,033	0,082	0,082	0,083	0,082	0,083	0,082	0,082	0,082	0,082	0,083	0,082	0,082	0,082	0,082	0,083	0,082	0,082	0,083	0,083	0,083	0,082	0,082	0,082	0,082	0,082	0,082	0,082	0,083	0,083	0,083	0,082	0,082	0,083	0,083	0,082	0,083	0,082	0,083	0,083	0,083	0,082	0,082	0,082	0,083	0,082	0,082	0,082	0,083	0,083	0,083	0,082	0,082	0,082	0,082	0,082	0,082	0,082	0,083	0,083	0,083	0,082	0,082	0,082	0,082	0,082	0,082	0,083	0,082	0,083	0,082	0,083	0,082	0,082	0,082	0,083	0,082	0,083	0,083	0,083	0,084	0,083	0,082	0,083	0,083	0,082	0,082	0,083	0,083	0,082	0,083	0,083	0,082	0,082	0,083	0,082	0,082	0,083	0,084	0,083	0,083	100,056
768,60	100,029	0,084	0,083	0,085	0,084	0,084	0,084	0,084	0,084	0,084	0,085	0,084	0,084	0,084	0,084	0,085	0,084	0,084	0,085	0,085	0,085	0,084	0,084	0,084	0,084	0,084	0,084	0,084	0,085	0,085	0,085	0,084	0,084	0,085	0,084	0,084	0,085	0,085	0,085	0,085	0,085	0,084	0,084	0,084	0,085	0,084	0,084	0,084	0,085	0,085	0,085	0,084	0,084	0,083	0,084	0,084	0,084	0,084	0,085	0,085	0,085	0,084	0,084	0,084	0,084	0,084	0,084	0,085	0,084	0,085	0,084	0,085	0,084	0,084	0,084	0,085	0,084	0,085	0,085	0,085	0,085	0,085	0,084	0,084	0,085	0,084	0,084	0,084	0,085	0,084	0,085	0,085	0,084	0,084	0,084	0,084	0,084	0,085	0,086	0,085	0,085	100,048
768,80	100,029	0,086	0,085	0,087	0,086	0,086	0,086	0,086	0,086	0,086	0,087	0,086	0,086	0,086	0,086	0,087	0,086	0,086	0,087	0,087	0,087	0,086	0,086	0,086	0,086	0,086	0,086	0,086	0,087	0,087	0,087	0,086	0,086	0,086	0,086	0,086	0,087	0,086	0,086	0,087	0,087	0,086	0,086	0,086	0,087	0,086	0,086	0,086	0,087	0,087	0,087	0,086	0,086	0,085	0,086	0,086	0,086	0,086	0,087	0,087	0,087	0,086	0,086	0,086	0,086	0,086	0,086	0,087	0,086	0,086	0,086	0,086	0,086	0,086	0,086	0,087	0,086	0,087	0,087	0,087	0,087	0,087	0,086	0,086	0,087	0,087	0,086	0,086	0,087	0,086	0,087	0,087	0,086	0,086	0,087	0,086	0,086	0,087	0,087	0,087	0,087	100,044
769,00	100,038	0,088	0,087	0,089	0,088	0,088	0,088	0,088	0,088	0,088	0,089	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,089	0,088	0,089	0,089	0,088	0,088	0,088	0,088	0,088	0,088	0,089	0,089	0,089	0,088	0,088	0,088	0,088	0,088	0,089	0,088	0,088	0,089	0,089	0,088	0,089	0,088	0,089	0,088	0,088	0,088	0,089	0,089	0,089	0,088	0,088	0,087	0,088	0,088	0,088	0,088	0,089	0,088	0,089	0,088	0,088	0,088	0,088	0,088	0,088	0,089	0,089	0,089	0,088	0,088	0,087	0,088	0,088	0,089	0,088	0,089	0,089	0,089	0,089	0,088	0,088	0,088	0,089	0,088	0,088	0,088	0,089	0,088	0,089	0,089	0,088	0,089	0,089	0,088	0,088	0,089	0,090	0,089	0,089	100,048
769,20	100,041	0,090	0,089	0,091	0,090	0,090	0,090	0,090	0,090	0,090	0,091	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,091	0,090	0,091	0,091	0,090	0,090	0,090	0,090	0,090	0,090	0,091	0,091	0,091	0,091	0,090	0,090	0,090	0,090	0,091	0,090	0,090	0,091	0,091	0,090	0,091	0,090	0,091	0,090	0,091	0,090	0,091	0,091	0,091	0,090	0,090	0,089	0,090	0,090	0,090	0,090	0,091	0,090	0,092	0,090	0,090	0,090	0,090	0,090	0,090	0,091	0,090	0,091	0,091	0,090	0,089	0,090	0,090	0,091	0,091	0,091	0,090	0,091	0,091	0,090	0,090	0,090	0,091	0,090	0,090	0,090	0,091	0,090	0,091	0,091	0,090	0,091	0,091	0,090	0,090	0,091	0,092	0,091	0,091	100,056
769,40	100,036	0,092	0,092	0,093	0,092	0,092	0,092	0,092	0,092	0,092	0,093	0,092	0,092	0,092	0,092	0,093	0,092	0,092	0,093	0,093	0,093	0,093	0,092	0,092	0,092	0,092	0,093	0,092	0,093	0,093	0,093	0,093	0,092	0,092	0,092	0,092	0,093	0,092	0,092	0,093	0,093	0,092	0,093	0,092	0,093	0,092	0,093	0,092	0,093	0,093	0,093	0,092	0,091	0,091	0,092	0,092	0,092	0,092	0,093	0,093	0,094	0,092	0,092	0,092	0,092	0,093	0,092	0,093	0,093	0,093	0,093	0,092	0,092	0,092	0,092	0,093	0,093	0,093	0,093	0,093	0,093	0,092	0,093	0,092	0,093	0,092	0,092	0,092	0,094	0,092	0,093	0,092	0,092	0,093	0,093	0,092	0,092	0,093	0,094	0,094	0,094	100,054
769,60	100,028	0,094	0,094	0,095	0,095	0,095	0,095	0,094	0,095	0,094	0,094	0,094	0,094	0,094	0,094	0,095	0,094	0,095	0,095	0,095	0,095	0,095	0,094	0,094	0,094	0,094	0,095	0,094	0,095	0,095	0,095	0,095	0,094	0,095	0,094	0,094	0,095	0,094	0,095	0,095	0,095	0,094	0,095	0,094	0,095	0,095	0,095	0,095	0,095	0,095	0,095	0,094	0,094	0,093	0,094	0,094	0,094	0,095	0,095	0,095	0,096	0,094	0,094	0,094	0,094	0,095	0,094	0,095	0,095	0,095	0,095	0,095	0,094	0,094	0,094	0,095	0,095	0,095	0,095	0,095	0,095	0,094	0,095	0,095	0,095	0,095	0,094	0,095	0,096	0,094	0,095	0,095	0,095	0,095	0,095	0,094	0,094	0,095	0,096	0,096	0,096	100,047
769,80	100,034	0,096	0,096	0,097	0,097	0,097	0,097	0,096	0,097	0,096	0,097	0,097	0,096	0,097	0,096	0,097	0,096	0,096	0,097	0,097	0,097	0,097	0,096	0,097	0,096	0,096	0,097	0,097	0,097	0,097	0,097	0,097	0,097	0,097	0,096	0,096	0,097	0,097	0,097	0,098	0,097	0,096	0,097	0,097	0,097	0,097	0,097	0,097	0,097	0,097	0,097	0,097	0,096	0,096	0,096	0,096	0,096	0,097	0,097	0,097	0,098	0,096	0,097	0,096	0,096	0,097	0,096	0,097	0,097	0,097	0,097	0,097	0,096	0,097	0,097	0,097	0,097	0,097	0,097	0,098	0,097	0,097	0,097	0,097	0,097	0,097	0,097	0,097	0,098	0,097	0,097	0,097	0,097	0,097	0,097	0,096	0,096	0,097	0,098	0,098	0,098	100,051
770,00	100,037	0,098	0,098	0,099	0,099	0,099	0,099	0,098	0,099	0,099	0,099	0,099	0,098	0,099	0,099	0,099	0,098	0,099	0,099	0,099	0,100	0,099	0,099	0,099	0,099	0,098	0,099	0,099	0,099	0,099	0,099	0,099	0,099	0,099	0,098	0,098	0,099	0,099	0,099	0,100	0,100	0,099	0,099	0,099	0,099	0,099	0,099	0,098	0,099	0,099	0,100	0,099	0,098	0,098	0,098	0,098	0,098	0,100	0,100	0,099	0,100	0,098	0,099	0,099	0,098	0,099	0,098	0,099	0,099	0,099	0,100	0,099	0,098	0,099	0,099	0,099	0,099	0,099	0,099	0,100	0,100	0,099	0,099	0,099	0,099	0,099	0,099	0,099	0,100	0,099	0,099	0,099	0,099	0,099	0,099	0,098	0,099	0,099	0,100	0,101	0,100	100,059
770,20	100,027	0,101	0,101	0,101	0,101	0,101	0,101	0,100	0,102	0,101	0,101	0,101	0,101	0,101	0,101	0,101	0,101	0,101	0,101	0,101	0,102	0,102	0,101	0,101	0,101	0,101	0,101	0,101	0,102	0,102	0,102	0,102	0,101	0,101	0,101	0,101	0,101	0,101	0,101	0,102	0,102	0,101	0,101	0,101	0,101	0,102	0,101	0,101	0,102	0,101	0,102	0,101	0,101	0,101	0,101	0,101	0,101	0,102	0,102	0,101	0,102	0,101	0,101	0,101	0,101	0,101	0,101	0,101	0,101	0,102	0,102	0,101	0,101	0,101	0,101	0,102	0,102	0,102	0,101	0,102	0,102	0,101	0,101	0,101	0,101	0,101	0,101	0,102	0,102	0,101	0,102	0,101	0,101	0,102	0,102	0,101	0,101	0,102	0,103	0,103	0,102	100,056
770,40	100,031	0,103	0,103	0,103	0,104	0,103	0,103	0,103	0,104	0,103	0,103	0,104	0,103	0,104	0,103	0,103	0,103	0,104	0,104	0,104	0,104	0,104	0,103	0,104	0,103	0,103	0,103	0,104	0,104	0,104	0,104	0,104	0,103	0,103	0,103	0,103	0,103	0,104	0,104	0,105	0,104	0,103	0,103	0,103	0,103	0,104	0,104	0,103	0,104	0,104	0,104	0,103	0,103	0,103	0,103	0,103	0,103	0,104	0,104	0,103	0,105	0,103	0,103	0,103	0,103	0,103	0,103	0,104	0,104	0,104	0,105	0,104	0,103	0,103	0,103	0,104	0,104	0,104	0,104	0,105	0,104	0,103	0,103	0,104	0,104	0,103	0,103	0,104	0,105	0,103	0,104	0,104	0,104	0,104	0,104	0,103	0,104	0,104	0,105	0,105	0,105	100,058
770,60	100,039	0,105	0,105	0,105	0,106	0,106	0,105	0,105	0,106	0,106	0,106	0,106	0,105	0,106	0,106	0,105	0,106	0,106	0,106	0,106	0,107	0,106	0,106	0,106	0,105	0,105	0,106	0,106	0,106	0,107	0,106	0,106	0,106	0,106	0,105	0,105	0,106	0,106	0,106	0,107	0,107	0,105	0,106	0,105	0,106	0,106	0,106	0,106	0,106	0,106	0,107	0,106	0,106	0,106	0,106	0,105	0,106	0,107	0,107	0,105	0,107	0,106	0,106	0,106	0,105	0,106	0,106	0,106	0,106	0,107	0,107	0,106	0,106	0,105	0,105	0,106	0,107	0,106	0,106	0,107	0,107	0,106	0,106	0,106	0,106	0,106	0,106	0,107	0,107	0,106	0,106	0,106	0,106	0,107	0,107	0,106	0,106	0,106	0,107	0,107	0,107	100,064
770,80	100,043	0,108	0,108	0,108	0,108	0,108	0,108	0,108	0,109	0,108	0,108	0,108	0,108	0,109	0,108	0,108	0,108	0,108	0,108	0,108	0,109	0,108	0,108	0,108	0,108	0,108	0,108	0,109	0,109	0,109	0,109	0,108	0,108	0,108	0,108	0,108	0,108	0,108	0,108	0,109	0,109	0,108	0,108	0,108	0,108	0,109	0,109	0,108	0,108	0,108	0,109	0,108	0,108	0,108	0,108	0,108	0,108	0,109	0,109	0,108	0,109	0,108	0,108	0,108	0,108	0,108	0,108	0,109	0,109	0,109	0,109	0,108	0,108	0,108	0,108	0,109	0,109	0,109	0,109	0,110	0,109	0,108	0,108	0,108	0,109	0,108	0,108	0,109	0,109	0,108	0,109	0,108	0,108	0,109	0,109	0,108	0,109	0,109	0,109	0,110	0,110	100,069
